id;guid;is_queued;parsed;identifier;priority
1;Representative compress Missouri;false;Markets input Generic;Advanced Netherlands;Urgent
2;structure global Sharable;true;Cloned;Forint;Urgent
3;pixel;true;IB Unbranded;Mouse Investment;Urgent
4;quantifying facilitate;true;Response mindshare;mint salmon Group;Routine
5;Sudan;false;Senior payment;archive;Urgent
6;red circuit integrate;true;fuchsia Cross-platform;RSS Haven;Routine
7;redefine Auto;true;bypassing Incredible;indexing XSS 17(E.U.A.-17);Stat
8;calculating;true;COM;Cotton value-added parsing;Routine
9;facilitate Tugrik SMTP;false;Tactics ROI;vertical indexing teal;Urgent
10;overriding;false;virtual matrix;bricks-and-clicks complexity;Routine
