id;value;jhi_system;parsed;limit_date
1;Agent;quantify Gorgeous;Research program Borders;2021-06-30T02:55:16
2;Illinois clicks-and-mortar;SMS Assurance;Concrete;2021-06-29T11:23:18
3;Metal Account California;Clothing Jewelery;Kwanza Wooden;2021-06-29T18:59:25
4;tolerance Tasty;Mississippi;Fresh back;2021-06-29T21:34:14
5;dot-com Stream Chair;SAS;Berkshire Awesome Group;2021-06-29T08:00:44
6;Facilitator Movies;online;redefine JBOD Incredible;2021-06-29T09:47:41
7;Officer Bike;pink clicks-and-mortar;Indiana Fresh;2021-06-30T04:32:38
8;Pants Moldova scale;Rubber maroon Lane;Internal XSS;2021-06-30T03:19:08
9;Estate user-centric;Chair;responsive;2021-06-30T03:18:25
10;Assurance system-worthy Tools;Senior;Chief Bedfordshire leverage;2021-06-29T12:25:18
