id;guid;parsed;priority;identifier;serviced_date;serviced_date_end
1;Handcrafted;holistic;Stat;bypass interactive;2021-06-29T23:33:26;2021-06-29T09:32:13
2;redundant RSS Security;Chair;Deferred;Metrics;2021-06-29T14:08:13;2021-06-29T15:02:28
3;interface Electronics Markets;Card Nevada;Stat;mint;2021-06-29T22:00:39;2021-06-29T22:07:20
4;Intelligent feed Savings;system Car Bedfordshire;Normal;calculating;2021-06-29T11:46:35;2021-06-29T09:13:17
5;PNG;Avon;Normal;Pizza;2021-06-29T21:37:56;2021-06-29T18:22:28
6;circuit Games;North;Deferred;morph Internal;2021-06-29T10:59:50;2021-06-29T10:50:07
7;alarm;Forward Automotive;Stat;Analyst;2021-06-30T04:34:39;2021-06-30T01:44:55
8;input EXE;database override transmitting;Stat;De-engineered redundant;2021-06-29T23:53:30;2021-06-30T00:15:36
9;viral Buckinghamshire;Intelligent;Normal;Grove capacitor Gloves;2021-06-30T05:48:44;2021-06-30T02:39:27
10;Guinea-Bissau;withdrawal Soft;Stat;input;2021-06-29T14:17:59;2021-06-30T02:25:49
