id;value;jhi_system;parsed;outcome;serviced;serviced_end;disposition;not_inforce_reason
1;Response New;Grass-roots;SSL Cotton;instruction;2021-06-29T23:32:52;2021-06-30T05:18:01;Brand state;Baby Cambridgeshire
2;Carolina;one-to-one;system;Loan parse;2021-06-29T19:22:53;2021-06-29T11:57:28;Product;Account Bedfordshire
3;program;Small Plastic Frozen;benchmark mobile Specialist;Ergonomic override invoice;2021-06-29T11:20:42;2021-06-29T09:32:31;systems;Soft payment deposit
4;Credit;USB;e-services;Luxembourg up base;2021-06-29T12:15:41;2021-06-29T11:42:03;integrate International Planner;Denar Mouse
5;maroon override;Berkshire JBOD;Fresh best-of-breed vertical;Islands Cotton Avon;2021-06-29T20:42:52;2021-06-29T14:20:13;Paradigm blockchains;array
6;microchip;Tuna Refined;Avon Designer;Buckinghamshire;2021-06-30T01:24:48;2021-06-29T08:00:41;embrace;transparent Up-sized
7;Car panel Bedfordshire;Keys;Director ivory d'Ivoire;Sports benchmark cultivate;2021-06-30T01:31:05;2021-06-30T07:15:56;Facilitator circuit;Salad
8;Avenue Principal;Secured drive;recontextualize Steel knowledge;Investor;2021-06-29T12:30:44;2021-06-29T17:25:15;Rustic ROI;logistical quantify Principal
9;Brooks Account Auto;Republic orchid;copying payment;Architect;2021-06-29T17:48:46;2021-06-30T04:24:37;programming Wooden;payment
10;yellow;mobile;e-services Loan e-services;encryption orchestrate Way;2021-06-30T00:09:23;2021-06-29T08:26:30;turquoise;intermediate partnerships
