id;type;start;end
1;Foster;2021-06-30T06:12:01;2021-06-29T10:38:10
2;Retired;2021-06-29T14:56:37;2021-06-29T13:44:12
3;Foster;2021-06-29T21:29:18;2021-06-29T22:00:49
4;Retired;2021-06-30T04:33:59;2021-06-30T03:24:11
5;Foster;2021-06-29T20:33:22;2021-06-29T14:20:45
6;Retired;2021-06-30T05:31:48;2021-06-29T17:05:57
7;Foster;2021-06-29T13:01:46;2021-06-29T14:17:16
8;Retired;2021-06-29T12:16:05;2021-06-29T13:28:04
9;Foster;2021-06-29T19:36:06;2021-06-29T17:34:31
10;Foster;2021-06-29T09:21:16;2021-06-30T05:53:51
