id;given;prefix;suffix;text_name
1;encompassing navigating;International extranet;Dollar;Designer hour
2;methodology Knolls web-enabled;Georgia strategy Wall;Tuna;red Legacy invoice
3;Organic Customizable Bedfordshire;Refined Technician;Metrics;of
4;Baby;needs-based services;Checking Latvia Plastic;benchmark
5;Licensed;Salad Tuna Accountability;Som Belize navigating;Rwanda
6;Dollar applications;Functionality;Mariana Gloves;Colombia compress
7;payment Louisiana auxiliary;Bacon;Account Gloves Verde;Turnpike virtual
8;Account Maryland;Usability;disintermediate e-markets Legacy;demand-driven generate Cheese
9;redefine Personal Corporate;Japan;Officer IB;auxiliary digital Algeria
10;mobile Orchestrator;Pants Tuvalu;Toys;Implemented bus
