id;guid;force_id;organization_license;base_url;organization_type;name
1;Intelligent open-source Kentucky;orchid Bosnia CSS;bandwidth Bacon;circuit;Ins;functionalities
2;overriding Rue;United;multimedia emulation;invoice;Other;Sleek bypassing
3;revolutionize cross-platform generate;Franc;Sierra People's;1080p;Dept;Nevada Bacon
4;capacitor architect;incubate;cross-platform;Chicken Rustic;Other;Generic redundant Incredible
5;TCP;PNG quantifying;indigo;deposit Nebraska;Prov;Fish North
6;Multi-channelled Lanka Incredible;recontextualize;Applications Wooden Factors;Rustic driver;Pay;GB hack Planner
7;National Brand;time-frame cross-platform;parse synthesize;Dollar;Prov;Idaho Reverse-engineered
8;withdrawal to Product;Generic National;Functionality back-end seize;Planner Integration;Other;User-friendly Fresh
9;green auxiliary;Synchronised;portals Ford;Granite;Other;up encompassing array
10;Unbranded Granite;XSS Regional Quality-focused;Phased;Zloty cross-media invoice;Pay;known Baby
