id;guid;parsed;identifier;payment_date;amount;payment_status
1;Gateway;Small 24/365;North Outdoors copying;2021-06-30T05:33:33;13229;Paid
2;Realigned bypassing Bangladesh;purple Small;orchid;2021-06-29T09:47:40;52948;Cleared
3;applications;models Investor Electronics;payment;2021-06-29T14:24:03;77687;Cleared
4;morph auxiliary Metal;PNG multi-byte methodical;Industrial;2021-06-30T06:42:40;20700;Paid
5;Usability;mint;web;2021-06-29T19:36:15;72347;Paid
6;blue Borders Manager;deposit Soft Alabama;Unbranded Orchestrator primary;2021-06-29T13:19:16;56135;Paid
7;withdrawal Account 24/365;content architect Faso;Rustic;2021-06-30T02:24:23;46677;Paid
8;Practical Cotton Fresh;Mountain;IB;2021-06-30T00:09:30;87329;Cleared
9;exploit hard Identity;Customer Zealand Well;web-enabled;2021-06-30T04:08:55;27669;Cleared
10;Yemen microchip;Seamless Gabon;redundant Investment Cambridgeshire;2021-06-30T03:30:49;86113;Cleared
