id;value;jhi_system;parsed;period_start;period_end;outcome;disposition;payment_amount;payment_identifier
1;Ergonomic bandwidth Valley;Manager Shirt back-end;Accounts Handmade;2021-06-29T16:32:27;2021-06-29T22:03:03;distributed redefine Frozen;Cotton Malagasy;5810;interface
2;Indiana;Corporate Port;info-mediaries hack Gorgeous;2021-06-29T13:07:12;2021-06-30T06:50:15;Credit;Polarised e-markets Rustic;75171;bifurcated Chicken Digitized
3;optical engineer;Brooks;Spring Computers;2021-06-29T20:59:51;2021-06-30T04:36:50;utilize;Self-enabling didactic Outdoors;46727;Plastic
4;needs-based Island;Quality deposit;Bedfordshire Digitized;2021-06-30T05:16:54;2021-06-30T03:47:13;Chief SAS connecting;Grass-roots;50384;Clothing Wooden port
5;wireless background architect;Uruguay next-generation Practical;azure;2021-06-29T23:28:18;2021-06-29T15:36:55;Generic;Regional e-business;44565;Tools
6;Account;Sleek;Singapore;2021-06-29T13:11:37;2021-06-29T14:11:55;Extended transmitting bypassing;Mauritius;66854;Rwanda payment Borders
7;Operations;indexing withdrawal;Niger Ariary payment;2021-06-29T22:26:24;2021-06-29T20:51:45;Distributed;Lights;86566;Ball
8;Product Ergonomic Checking;salmon Azerbaijan virtual;Denar matrix Rustic;2021-06-30T03:44:32;2021-06-29T13:55:42;programming Car Reverse-engineered;Integrated impactful Automotive;62028;Junction Technician Down-sized
9;Manor program Synergistic;9(E.U.A.-9) leverage e-commerce;Corners;2021-06-29T12:27:03;2021-06-29T08:21:07;Optimized protocol Engineer;maroon Rustic web-enabled;11400;Frozen
10;withdrawal;Associate Officer;card;2021-06-29T14:26:43;2021-06-29T12:42:47;Concrete Zambia;Rubber Borders;32777;payment bus
