id;identifier;predecessor;type;date;amount
1;Monaco Fish;Avon;human-resource Avon;2021-06-29T15:07:05;89553
2;compress compress compressing;calculating;extensible initiatives grow;2021-06-29T21:23:12;56376
3;Towels optical;Future-proofed orchid;envisioneer parsing Somoni;2021-06-29T12:54:31;92302
4;Toys Mews;RAM;Key Soft eyeballs;2021-06-29T20:02:57;86576
5;Illinois;Computers Senior hack;Developer;2021-06-29T12:53:54;46113
6;Cotton Fish productize;iterate;bandwidth;2021-06-29T18:12:27;82770
7;Belize;architect Producer Metical;port hack;2021-06-29T17:20:10;54320
8;Personal;killer Chicken Pizza;global Orchestrator;2021-06-30T05:54:14;47319
9;Sharable;relationships quantifying;JBOD world-class;2021-06-29T17:30:49;5306
10;Dynamic mint Functionality;Forward Tactics;Directives;2021-06-29T10:45:18;68647
