id;guid;is_queued;parsed;identifier;code;description;focus;reason_code
1;withdrawal Avon rich;true;deposit Washington;Chair Supervisor;Cancel;morph South;Frozen Central circuit;TAS
2;Usability Quality proactive;true;zero;Fresh Clothing copying;Reprocess;optical;Shilling Movies;TAS
3;Applications;true;Orchestrator integrate;Flats TCP ADP;Status;multi-tasking;input;TAS
4;Dynamic Technician;true;index withdrawal Concrete;Hat mission-critical;Reprocess;compressing Rubber;Micronesia deposit Consultant;TAS
5;initiatives;false;Reduced GB;Qatar;Reprocess;Paradigm;to Facilitator definition;NP
6;services reintermediate Investor;false;Maryland Congo;SQL;Poll;Oregon Computer;Mouse invoice real-time;NP
7;deposit;false;Outdoors synergize;Checking Dollar Borders;Nullify;Poland Pants;Romania;WI
8;yellow Account;false;Wells Unbranded;compressing silver;Poll;vortals Granite Tunisia;blue;WI
9;Handmade model;true;Platinum Iowa;Administrator Sausages Supervisor;Cancel;success;Small National;WI
10;website Frozen Rustic;true;global Dollar;generate pixel Data;Release;Rustic;Corporate Health Pants;TAS
